antecedents,consequents,support,confidence,lift
"PROC_85025, MED_atorvastatin",MED_aspirin,0.03442739921512665,0.7877551020408163,2.2180588156910175
"MED_atorvastatin, PROC_36415",MED_aspirin,0.03139493399928648,0.7822222222222222,2.202480049109883
"MED_metformin, MED_atorvastatin",MED_aspirin,0.03567606136282554,0.78125,2.199742591662481
"COND_asthma, MED_atorvastatin",MED_albuterol,0.04513021762397431,1.0,2.0824665676077267
"COND_asthma, COND_obesity",MED_albuterol,0.027827327863003924,1.0,2.0824665676077267
"COND_asthma, MED_metformin",MED_albuterol,0.021405636817695327,1.0,2.0824665676077267
"COND_asthma, MED_aspirin",MED_albuterol,0.045665358544416695,1.0,2.0824665676077267
COND_asthma,MED_albuterol,0.12914734213342846,1.0,2.0824665676077267
"COND_asthma, MED_aspirin, MED_atorvastatin",MED_albuterol,0.039600428112736355,1.0,2.0824665676077267
"COND_copd, MED_aspirin",MED_albuterol,0.03888690688547984,1.0,2.0824665676077267
"COND_copd, MED_atorvastatin",MED_albuterol,0.0424545130217624,1.0,2.0824665676077267
COND_copd,MED_albuterol,0.13093114520156976,1.0,2.0824665676077267
"COND_copd, MED_lisinopril",MED_albuterol,0.022475918658580094,1.0,2.0824665676077267
"MED_metformin, COND_copd",MED_albuterol,0.025151623260792007,1.0,2.0824665676077267
"COND_copd, MED_aspirin, MED_atorvastatin",MED_albuterol,0.035497681056011414,1.0,2.0824665676077267
"COND_obesity, COND_copd",MED_albuterol,0.025686764181234393,1.0,2.0824665676077267
DX_E78.5,MED_aspirin,0.04513021762397431,0.4009508716323296,1.1289455481521042
PROC_90471,MED_albuterol,0.06386014983945773,0.5319465081723626,1.1077608190246153
PROC_80053,MED_atorvastatin,0.04691402069211559,0.40091463414634143,1.0920930218777405
PROC_93000,MED_albuterol,0.06278986799857296,0.5230312035661219,1.0891949952420799
PROC_93306,MED_albuterol,0.06296824830538708,0.522962962962963,1.089052886467448
DX_M79.1,MED_albuterol,0.06100606493043168,0.5213414634146342,1.0856761678686624
DX_J18,MED_albuterol,0.04958972529432751,0.5119705340699816,1.0661615208010093
DX_U07.1,MED_albuterol,0.053335711737424185,0.5085034013605442,1.0589413328481465
PROC_87040,MED_albuterol,0.059043881555476276,0.5068912710566615,1.0555841253876836
DX_K21.9,MED_albuterol,0.05262219051016768,0.5042735042735043,1.0501327135799647
"DX_Z79.4, MED_aspirin",MED_albuterol,0.021584017124509455,0.5041666666666667,1.049910227835562
PROC_71250,MED_albuterol,0.05529789511237959,0.5032467532467533,1.0479945388934988
PROC_71045,MED_albuterol,0.05957902247591866,0.5022556390977444,1.0459305768135048
"DX_M79.1, MED_atorvastatin",MED_albuterol,0.022297538351765966,0.5020080321285141,1.045414943578176
